Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,0.257290,0.261677,0.244534,0.246147,0.246147,59993282
2020-11-03,0.246147,0.247571,0.226554,0.232871,0.232871,61006685
2020-11-04,0.232877,0.243533,0.222124,0.238598,0.238598,68372676
2020-11-05,0.238599,0.253761,0.234073,0.247707,0.247707,47384257
2020-11-06,0.247688,0.281100,0.247610,0.276471,0.276471,53370602
2020-11-07,0.276471,0.296783,0.245126,0.258266,0.258266,93241589
2020-11-08,0.258266,0.275029,0.254505,0.266494,0.266494,42481944
2020-11-09,0.266494,0.272901,0.254796,0.260620,0.260620,44327720
2020-11-10,0.260642,0.292055,0.257086,0.286784,0.286784,66371409
2020-11-11,0.286785,0.293607,0.277385,0.278738,0.278738,52318889
2020-11-12,0.278733,0.278733,0.260692,0.265159,0.265159,40815820
2020-11-13,0.265159,0.280957,0.263380,0.279745,0.279745,51460690
2020-11-14,0.279745,0.279774,0.263537,0.265827,0.265827,47149542
2020-11-15,0.265827,0.271175,0.248861,0.254886,0.254886,57838422
2020-11-16,0.254885,0.272180,0.252721,0.269692,0.269692,61158972
2020-11-17,0.272810,0.278368,0.268597,0.274030,0.274030,54733261
2020-11-18,0.274017,0.277231,0.257583,0.267482,0.267482,71924359
2020-11-19,0.267483,0.271292,0.255602,0.264561,0.264561,41325515
2020-11-20,0.264562,0.288724,0.264490,0.284402,0.284402,63907790
2020-11-21,0.284402,0.324473,0.284402,0.315294,0.315294,124532492
2020-11-22,0.315294,0.323263,0.281372,0.297030,0.297030,104518231
2020-11-23,0.297030,0.341300,0.293568,0.335173,0.335173,123633926
2020-11-24,0.335366,0.374568,0.327694,0.357892,0.357892,224480785
2020-11-25,0.357876,0.419008,0.333394,0.343715,0.343715,222071949
2020-11-26,0.343593,0.355065,0.280774,0.301823,0.301823,203880410
2020-11-27,0.301860,0.316193,0.286580,0.299978,0.299978,80462546
2020-11-28,0.300161,0.323590,0.295796,0.313111,0.313111,69329866
2020-11-29,0.313154,0.322931,0.301708,0.317558,0.317558,59560847
2020-11-30,0.317549,0.333803,0.313799,0.328571,0.328571,93029960
2020-12-01,0.328857,0.346242,0.306817,0.309062,0.309062,101960294
2020-12-02,0.308996,0.346112,0.301272,0.341701,0.341701,101946818
2020-12-03,0.341892,0.357095,0.340205,0.340721,0.340721,78058839
2020-12-04,0.340782,0.373204,0.323165,0.326958,0.326958,110866371
2020-12-05,0.326684,0.350347,0.319538,0.344678,0.344678,74950311
2020-12-06,0.344296,0.347410,0.330662,0.337144,0.337144,75516886
2020-12-07,0.337136,0.342907,0.324232,0.331154,0.331154,52230358
2020-12-08,0.331103,0.332000,0.294863,0.300953,0.300953,80324528
2020-12-09,0.301042,0.307977,0.287213,0.306190,0.306190,67088276
